Timestamp                       Thread     Type        Activity             PID    TTL  
2024-10-30 10:19:50.746550-0300 0x1e69c    Default     0x0                  11504  0    Xcode: (libxpc.dylib) [com.apple.xpc:connection] [0x110905030] activating connection: mach=false listener=false peer=false name=com.apple.dt.Xcode.sourcecontrol.Git
2024-10-30 10:19:50.763622-0300 0x1e8cb    Activity    0x59db0              11714  0    xpcproxy: (libsystem_info.dylib) Retrieve User by ID
2024-10-30 10:19:50.766218-0300 0x1e8cb    Activity    0x59db1              11714  0    xpcproxy: (libsystem_info.dylib) Resolve user group list
2024-10-30 10:19:50.766653-0300 0x1e8cb    Activity    0x59db2              11714  0    xpcproxy: (libsystem_info.dylib) Membership API: translate identifier
2024-10-30 10:19:50.767786-0300 0x1dccc    Default     0x0                  608    0    com.google.santa.daemon: action=EXEC|decision=ALLOW|reason=BINARY|explain=critical system binary|sha256=7eea36a2c193ab8f0902be9718a7e1400d229193680deef3fd64fe74df45bf0a|cert_sha256=d84db96af8c2e60ac4c851a21ec460f6f84e0235beb17d24a78712b9b021ed57|cert_cn=Software Signing|pid=11714|pidversion=24969|ppid=1|uid=0|user=root|gid=0|group=wheel|mode=M|path=/usr/libexec/xpcproxy|args=xpcproxy com.apple.dt.Xcode.sourcecontrol.Git.4C9C00DD-C694-4473-AE36-E5DE9DB5E66A 11504
2024-10-30 10:19:50.817331-0300 0x1dccc    Default     0x0                  608    0    com.google.santa.daemon: action=EXEC|decision=ALLOW|reason=TEAMID|sha256=beeae33a4371bd3a393c9d55ebd776a92fb7f6b14724d14897bd616d902617d3|cert_sha256=d84db96af8c2e60ac4c851a21ec460f6f84e0235beb17d24a78712b9b021ed57|cert_cn=Software Signing|teamid=59GAB85EFG|pid=11714|pidversion=24970|ppid=1|uid=502|user=bianca.pacheco.nufuturo|gid=20|group=staff|mode=M|path=/Applications/Xcode.app/Contents/SharedFrameworks/DVTSourceControl.framework/Versions/A/XPCServices/com.apple.dt.Xcode.sourcecontrol.Git.xpc/Contents/MacOS/com.apple.dt.Xcode.sourcecontrol.Git|args=/Applications/Xcode.app/Contents/SharedFrameworks/DVTSourceControl.framework/Versions/A/XPCServices/com.apple.dt.Xcode.sourcecontrol.Git.xpc/Contents/MacOS/com.apple.dt.Xcode.sourcecontrol.Git
2024-10-30 10:19:50.859480-0300 0x1e653    Default     0x0                  11504  0    Xcode: (libxpc.dylib) [com.apple.xpc:connection] [0x110905030] Re-initialization successful; calling out to event handler with XPC_ERROR_CONNECTION_INTERRUPTED
2024-10-30 10:19:50.861410-0300 0x1e69c    Default     0x0                  11504  0    Xcode: (libxpc.dylib) [com.apple.xpc:connection] [0x110905030] Failed to derive connection port; error 0xf
2024-10-30 10:19:50.861501-0300 0x1e69c    Default     0x0                  11504  0    Xcode: (libxpc.dylib) [com.apple.xpc:connection] [0x110905030] Re-initialization successful; calling out to event handler with XPC_ERROR_CONNECTION_INTERRUPTED
2024-10-30 10:19:50.861706-0300 0x1e69c    Default     0x0                  11504  0    Xcode: (libxpc.dylib) [com.apple.xpc:connection] [0x110905030] invalidated after a failed send of the check-in message: mach_error=[0x10000003: (ipc/send) invalid destination port]
2024-10-30 10:19:50.998595-0300 0x1e477    Default     0x0                  0      0    kernel: (IO80211Family) com.apple.p2p: isInfraRealtimePacketThresholdAllowed allowed:1 option:32 threshold:50 noRegistrations:1 cachedPeerCount:0 fastDiscoveryInactive:1 fastDiscoveryOnSince:6810467
2024-10-30 10:19:50.998660-0300 0x1e477    Default     0x0                  0      0    kernel: (IO80211Family) com.apple.p2p: currentInfraTrafficType:8577 checking if realtime upgrade required with inputPackets:6 outputPackets:0 packetThreshold:50
2024-10-30 10:19:51.198374-0300 0x1df21    Default     0x59c88              4440   0    searchpartyuseragent: (libxpc.dylib) [com.apple.xpc:connection] [0x13f938ea0] activating connection: mach=true listener=false peer=false name=com.apple.contactsd.persistence
2024-10-30 10:19:51.198723-0300 0x1d8c2    Default     0x59c4a              960    0    imagent: (libxpc.dylib) [com.apple.xpc:connection] [0x13df49490] activating connection: mach=true listener=false peer=false name=com.apple.contactsd.persistence
2024-10-30 10:19:51.199002-0300 0x1df21    Default     0x59c88              4440   0    searchpartyuseragent: (libxpc.dylib) [com.apple.xpc:connection] [0x13f938ea0] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2024-10-30 10:19:51.198726-0300 0x1e3e5    Error       0x0                  0      0    kernel: (Sandbox) 1 duplicate report for Sandbox: Family(11701) deny(1) mach-lookup com.apple.contactsd.persistence
2024-10-30 10:19:51.198760-0300 0x1e3e5    Error       0x0                  0      0    kernel: (Sandbox) Sandbox: searchpartyuseragent(4440) deny(1) mach-lookup com.apple.contactsd.persistence
2024-10-30 10:19:51.199642-0300 0x1e8cd    Error       0x0                  0      0    kernel: (Sandbox) Sandbox: imagent(960) deny(1) mach-lookup com.apple.contactsd.persistence
2024-10-30 10:19:51.199740-0300 0x1d8c2    Default     0x59c4a              960    0    imagent: (libxpc.dylib) [com.apple.xpc:connection] [0x13df49490] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2024-10-30 10:19:51.199172-0300 0x1df21    Default     0x59c88              4440   0    searchpartyuseragent: (libxpc.dylib) [com.apple.xpc:connection] [0x13f938ea0] invalidated after a failed init
2024-10-30 10:19:51.199826-0300 0x1d8c2    Default     0x59c4a              960    0    imagent: (libxpc.dylib) [com.apple.xpc:connection] [0x13df49490] invalidated after a failed init
2024-10-30 10:19:51.200087-0300 0x1df22    Error       0x0                  4440   0    searchpartyuseragent: (ContactsPersistence) [com.apple.contacts:persistence] Persistent store service connection invalidated: failed at lookup with error 159 - Sandbox restriction
2024-10-30 10:19:51.200256-0300 0x1e6fe    Error       0x0                  960    0    imagent: (ContactsPersistence) [com.apple.contacts:persistence] Persistent store service connection invalidated: failed at lookup with error 159 - Sandbox restriction
2024-10-30 10:19:51.200287-0300 0x1df21    Error       0x59c88              4440   0    searchpartyuseragent: (ContactsPersistence) [com.apple.contacts:persistence] Error communicating with persistent store service proxy: Error Domain=NSCocoaErrorDomain Code=4099 "The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction." UserInfo={NSDebugDescription=The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction.}
2024-10-30 10:19:51.200428-0300 0x1d8c2    Error       0x59c4a              960    0    imagent: (ContactsPersistence) [com.apple.contacts:persistence] Error communicating with persistent store service proxy: Error Domain=NSCocoaErrorDomain Code=4099 "The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction." UserInfo={NSDebugDescription=The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction.}
2024-10-30 10:19:51.200401-0300 0x1df21    Error       0x59c88              4440   0    searchpartyuseragent: (ContactsPersistence) [com.apple.contacts:persistence] Error connecting to remote endpoint: (null)
2024-10-30 10:19:51.200516-0300 0x1d8c2    Error       0x59c4a              960    0    imagent: (ContactsPersistence) [com.apple.contacts:persistence] Error connecting to remote endpoint: (null)
2024-10-30 10:19:51.200510-0300 0x1df21    Error       0x59c88              4440   0    searchpartyuseragent: (CoreData) [com.apple.coredata:error] fault: Unable to create token NSXPCConnection.  NSXPCStoreServerEndpointFactory 0x13f822d80 -newEndpoint returned nil
2024-10-30 10:19:51.200622-0300 0x1d8c2    Error       0x59c4a              960    0    imagent: (CoreData) [com.apple.coredata:error] fault: Unable to create token NSXPCConnection.  NSXPCStoreServerEndpointFactory 0x13de3ee90 -newEndpoint returned nil
2024-10-30 10:19:51.202022-0300 0x1df21    Activity    0x59d77              4440   0    searchpartyuseragent: (libsystem_trace.dylib) Activity for state dumps
2024-10-30 10:19:51.202016-0300 0x1d8c2    Activity    0x59d69              960    0    imagent: (libsystem_trace.dylib) Activity for state dumps
